NAME,CODE,SEVERITY,ORIGIN,DESCRIPTION
License-error,0,Critical(2),"Authorizer, Host Store, License Manager, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy",The system license does not allow operation.
Configuration-error,1,Critical(2),"Authorizer, Extender Service, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy, Role Store",The system configuration is invalid.
Service-starting,10,Info(6),"Authentication, Authorizer, Connection Manager, Extender Service, Host Store, License Manager, Monitor Service, Network Access Manager, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy, Role Store, Secrets Manager, Trail Index, User Store, Secrets Vault, Workflow Engine",The service is starting.
Service-running,11,Info(6),"Authentication, Authorizer, Connection Manager, Extender Service, Host Store, License Manager, Monitor Service, Network Access Manager, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy, Role Store, Secrets Manager, Trail Index, User Store, Secrets Vault, Workflow Engine",The service is running.
Service-stopped,12,Warning(4),"Authentication, Authorizer, Connection Manager, Extender Service, Host Store, License Manager, Monitor Service, Network Access Manager, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy, Role Store, Secrets Manager, Trail Index, User Store, Secrets Vault, Workflow Engine",The service has been stopped.
Background-migration-started,20,Info(6),"Connection Manager, Monitor Service",Data migration will be running in the background
Background-migration-completed,21,Info(6),"Connection Manager, Monitor Service",Data migration is completed
Unknown-event,99,Critical(2),,Unknown event ID
User-logged-in,100,Info(6),Authentication,User has logged in to the system.
User-logged-out,101,Info(6),Authentication,User has logged out from the system.
User-login-failed,102,Warning(4),Authentication,User login operation failed.
User-MFA-challenge-sent,103,Info(6),Authentication,Challenge is sent to the user for login.
User-MFA-challenge-accepted,104,Info(6),Authentication,User successfully authenticated with MFA pin code.
User-MFA-challenge-setup-sent,105,Info(6),Authentication,User was MFA setup information.
Access-token-granted,106,Info(6),Authentication,Access token granted.
User-Mobile-MFA-challenge-sent,107,Info(6),,Challenge is sent to the user for login.
User-Mobile-MFA-challenge-accepted,108,Info(6),,User successfully authenticated with Mobile MFA
User-Mobile-MFA-challenge-setup-sent,109,Info(6),,User was Mobile MFA setup information.
User-access-token-refreshed,110,Info(6),Authentication,User refreshed the access token.
User-access-token-refresh-failed,111,Warning(4),Authentication,User access token refresh failed.
OAuth-client-authenticated,121,Info(6),Authentication,OAuth client authenticated.
OAuth-client-authentication-failed,122,Warning(4),Authentication,OAuth client authentication failed.
User-login-attempt-rate-limited,130,Info(6),Authentication,User login attempt rate limited.
IDP-client-config-created,131,Info(6),Authentication,IDPClient config created.
IDP-client-config-modified,132,Info(6),Authentication,IDPClient config modified.
IDP-client-config-removed,133,Info(6),Authentication,IDPClient config removed.
IDP-client-credentials-regenerated,134,Info(6),Authentication,IDPClient credentials regenerated.
IDP-client-config-registered,135,Info(6),Authentication,IDPClient config registered.
IDP-client-config-registration-failed,136,Info(6),Authentication,IDPClient config registration failed.
IDP-client-config-unregistered,137,Info(6),Authentication,IDPClient config unregistered.
IDP-client-config-unregistration-failed,138,Info(6),Authentication,IDPClient config unregistration failed.
Session-terminated,140,Info(6),Authentication,Session terminated.
Session-password-generated,141,Info(6),Authentication,Session password generated.
Session-inactivity-invalidated,142,Info(6),Authentication,Session invalidated on user inactivity.
Role-added,201,Info(6),Role Store,New role added to the system.
Role-modified,202,Info(6),Role Store,Role has been modified.
Role-removed,203,Info(6),Role Store,Role has been removed.
Directory-added,210,Info(6),Role Store,New directory added to the system.
Directory-modified,211,Info(6),Role Store,Directory has been modified.
Directory-removed,212,Info(6),Role Store,Directory has been removed.
Directory-authentication-failed,213,Info(6),Role Store,Directory authentication failed.
User-roles-modified,220,Info(6),Role Store,The user's role associations were changed.
AWS-token-granted,230,Info(6),Role Store,AWS token was granted to a user.
AWS-token-grant-failed,231,Warning(4),Role Store,AWS token grant failed.
LogConf-collector-created,232,Info(6),Role Store,LogConf collector created.
LogConf-collector-modified,233,Info(6),Role Store,LogConf collector modified.
LogConf-collector-removed,234,Info(6),Role Store,LogConf collector removed.
LogConf-collector-failed,235,Warning(4),Role Store,LogConf collector failed.
RoleContext-usage-alert,250,Warning(4),Role Store,RoleContext limitations were violated.
RoleContext-role-blocked,251,Warning(4),Role Store,"RoleContext limitations were violated, role blocked."
Authorized-key-added,260,Info(6),Role Store,Authorized key added.
Authorized-key-modified,261,Info(6),Role Store,Authorized key modified.
Authorized-key-removed,262,Info(6),Role Store,Authorized key removed.
Identity-provider-added,270,Info(6),Role Store,New IDP added to the system.
Identity-provider-modified,271,Info(6),Role Store,IDP has been modified.
Identity-provider-removed,272,Info(6),Role Store,IDP has been removed.
WebAuthn-Credential-added,280,Info(6),Role Store,WebAuthn Credential added.
WebAuthn-Credential-modified,281,Info(6),Role Store,WebAuthn Credential modified.
WebAuthn-Credential-removed,282,0,Role Store,WebAuthn Credential removed.
Multi-factor-authentication-generated,283,Info(6),Role Store,Multi-factor-authentication has been generated for user
Multi-factor-authentication-configured,284,Info(6),Role Store,Multi-factor-authentication has been configured for user
Housekeeping-user-data,290,Info(6),Role Store,Completed housekeeping user data.
Housekeeping-OIDC-user-cache,291,Info(6),Role Store,Completed housekeeping OIDC user cache.
Housekeeping-SCIM-roles,292,Info(6),Role Store,Initiating housekeeping SCIM roles.
Housekeeping-authorized-keys,293,Info(6),Role Store,Initiating housekeeping authorized keys.
Users-license-grace-period-started,296,Info(6),Role Store,Grace period started for users overflowing license limit
Users-blocked-by-license,297,Info(6),Role Store,Users overflowing license limit are blocked
Users-license-ok,298,Info(6),Role Store,Users count complies with license limits
Connection-requested,300,Info(6),"RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy",Connection was requested.
Connection-authenticated,301,Info(6),"RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy",Connection was authenticated.
Connection-rejected,302,Warning(4),"RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy",Connection was rejected.
Connection-closed,303,Info(6),"RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy",Connection was closed.
Connection-failed,304,Info(6),"RDP Bastion, RDP Proxy, SSH Bastion",Connection closed with an error.
Client-authenticated,305,Info(6),SSH Bastion,Client was authenticated.
Client-authentication-warning,306,Warning(4),SSH Bastion,Client authentication warning.
Session-added,310,Info(6),"SSH Bastion, SSH Proxy",A session was added to a connection.
Session-removed,311,Info(6),"SSH Bastion, SSH Proxy",A session was removed from a connection.
Session-rejected,312,Warning(4),"SSH Bastion, SSH Proxy",A session was rejected.
File-upload,320,Info(6),"RDP Proxy, SSH Bastion, SSH Proxy",File upload performed.
File-download,321,Info(6),"RDP Proxy, SSH Bastion, SSH Proxy",File download performed.
File-upload-rejected,322,Warning(4),"RDP Proxy, SSH Bastion, SSH Proxy",File upload was rejected.
File-download-rejected,323,Warning(4),"RDP Proxy, SSH Bastion, SSH Proxy",File download was rejected.
Host-key-matched,324,Info(6),"SSH Bastion, SSH Proxy",Host key matched.
Host-key-denied,325,Alert(1),"SSH Bastion, SSH Proxy",Host key denied.
Host-key-accepted,326,Info(6),"SSH Bastion, SSH Proxy",Host key accepted.
Host-key-saved,327,Info(6),"SSH Bastion, SSH Proxy",Host key saved.
Extender-connected,328,Info(6),Extender Service,Extender connected.
Extender-disconnected,329,Warning(4),Extender Service,Extender disconnected.
File-removed,330,Info(6),"RDP Proxy, SSH Proxy",File removed via SSH.
Folder-removed,331,Info(6),"RDP Proxy, SSH Proxy",Folder removed via SSH.
File-moved,332,Info(6),"RDP Proxy, SSH Proxy",File moved.
Folder-created,333,Info(6),"RDP Proxy, SSH Proxy",Folder created.
Connection-audit-started,334,Info(6),"RDP Proxy, SSH Bastion, SSH Proxy",Connection audit started.
Connection-audit-failed,335,Alert(1),"RDP Proxy, SSH Bastion, SSH Proxy",Connection audit failed.
Host-certificate-trusted,336,Info(6),"RDP Proxy, RDP Bastion",Host certificate trusted.
Host-certificate-matched,337,Info(6),"RDP Proxy, RDP Bastion",Host certificate matched.
Host-certificate-denied,338,Alert(1),"RDP Proxy, RDP Bastion",Host certificate denied.
Host-certificate-accepted,339,Info(6),"RDP Proxy, RDP Bastion",Host certificate accepted.
Host-certificate-saved,340,Info(6),"RDP Proxy, RDP Bastion",Host certificate saved.
Connection-accepted,341,Info(6),SSH Proxy,Connection accepted.
File-upload-blocked,342,Warning(4),"RDP Proxy, SSH Bastion, SSH Proxy",File upload blocked by ICAP.
File-download-blocked,343,Warning(4),"RDP Proxy, SSH Bastion, SSH Proxy",File download blocked by ICAP.
File-move-rejected,344,Warning(4),"RDP Proxy, SSH Proxy",File move was rejected.
File-remove-rejected,345,Warning(4),"RDP Proxy, SSH Proxy",File removal was rejected.
Folder-create-rejected,346,Warning(4),"RDP Proxy, SSH Proxy",Folder create was rejected.
Folder-remove-rejected,347,Warning(4),"RDP Proxy, SSH Proxy",Folder removal was rejected.
Monitoring-session-started,348,Info(6),"RDP Proxy, SSH Proxy",A monitoring session is started
Monitoring-session-ended,349,Info(6),"RDP Proxy, SSH Proxy",A monitoring session has ended
Authorization-requested,400,Info(6),Authorizer,A client requested an authorization.
Authorization-certificate-granted,401,Info(6),Authorizer,An authorization certificate granted.
Authorization-role-key-granted,402,Info(6),Authorizer,An authorization role key granted.
Authorization-role-key-sign-operation-rejected,403,Warning(4),Authorizer,An authorization role key sign operation was rejected.
Authorization-role-key-sign-operation-accepted,404,Info(6),Authorizer,An authorization role key sign operation was accepted.
Authorization-rejected,405,Alert(1),Authorizer,An authorization was rejected.
Authorization-certificate-warning,406,Warning(4),Authorizer,Authorization certificate creation generated warnings.
Authorization-passphrase-returned,407,Info(6),Authorizer,Authorization passphrase was returned.
Principal-added,410,Info(6),Authorizer,A principal was added.
Principal-removed,411,Info(6),Authorizer,A principal was removed.
Trusted-client-added,420,Info(6),User Store,A trusted client was added.
Trusted-client-modified,421,Info(6),User Store,A trusted client was modified.
Trusted-client-removed,423,Info(6),User Store,A trusted client was removed.
API-client-added,424,Info(6),User Store,An API client was added.
API-client-modified,425,Info(6),User Store,An API client was modified.
API-client-removed,426,Info(6),User Store,An API client was removed.
License-updated,430,Info(6),License Manager,The service license was updated.
CA-certificate-created,440,Info(6),Authorizer,CA certificate was created.
CA-certificate-deleted,441,Info(6),Authorizer,CA certificate was deleted.
EE-certificate-enrolled,442,Info(6),Authorizer,End entity certificate was enrolled.
EE-certificate-revoked,443,Info(6),Authorizer,End entity certificate was revoked.
CA-certificate-enrolled,444,Info(6),Authorizer,CA certificate was enrolled.
CA-certificate-revoked,445,Info(6),Authorizer,CA certificate was revoked.
EE-certificate-deleted,446,Info(6),Authorizer,EE certificate was deleted.
Access-group-created,450,Info(6),Authorizer,Access group created.
Access-group-modified,451,Info(6),Authorizer,Access group modified.
Access-group-deleted,452,Info(6),Authorizer,Access group deleted.
